Android application is debugging.
02-03 11:00:55.513 D/Mono    (18934): Image addref MimeKit[0x65bd9be8] -> /storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/MimeKit.dll[0x65bd8f18]: 2
02-03 11:00:55.513 D/Mono    (18934): Assembly MimeKit[0x65bd9be8] added to domain RootDomain, ref_count=1
02-03 11:00:55.523 D/Mono    (18934): AOT module '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/MimeKit.dll.so' not found: dlopen failed: library "/data/app-lib/UnaPantalla.Droid-2/libaot-MimeKit.dll.so" not found
02-03 11:00:55.523 D/Mono    (18934): AOT module '/Users/builder/data/lanes/2512/d3008455/source/monodroid/builds/install/mono-armv7/lib/mono/aot-cache/arm/MimeKit.dll.so' not found: dlopen failed: library "/data/app-lib/UnaPantalla.Droid-2/libaot-MimeKit.dll.so" not found
02-03 11:00:55.523 D/Mono    (18934): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/MimeKit.dll'.
02-03 11:00:55.523 D/Mono    (18934): Config attempting to parse: '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/MimeKit.dll.config'.
02-03 11:00:55.523 D/Mono    (18934): Config attempting to parse: '/Users/builder/data/lanes/2512/d3008455/source/monodroid/builds/install/mono-armv7/etc/mono/assemblies/MimeKit/MimeKit.config'.
02-03 11:00:55.523 D/Mono    (18934): Assembly Loader probing location: '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/UnaPantalla.dll'.
02-03 11:00:55.523 D/Mono    (18934): Image addref UnaPantalla[0x65bdaaa0] -> /storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/UnaPantalla.dll[0x65bd9e10]: 2
02-03 11:00:55.523 D/Mono    (18934): Assembly UnaPantalla[0x65bdaaa0] added to domain RootDomain, ref_count=1
02-03 11:00:55.523 D/Mono    (18934): AOT module '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/UnaPantalla.dll.so' not found: dlopen failed: library "/data/app-lib/UnaPantalla.Droid-2/libaot-UnaPantalla.dll.so" not found
02-03 11:00:55.523 D/Mono    (18934): AOT module '/Users/builder/data/lanes/2512/d3008455/source/monodroid/builds/install/mono-armv7/lib/mono/aot-cache/arm/UnaPantalla.dll.so' not found: dlopen failed: library "/data/app-lib/UnaPantalla.Droid-2/libaot-UnaPantalla.dll.so" not found
02-03 11:00:55.523 D/Mono    (18934): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/UnaPantalla.dll'.
02-03 11:00:55.523 D/Mono    (18934): Config attempting to parse: '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/UnaPantalla.dll.config'.
02-03 11:00:55.523 D/Mono    (18934): Config attempting to parse: '/Users/builder/data/lanes/2512/d3008455/source/monodroid/builds/install/mono-armv7/etc/mono/assemblies/UnaPantalla/UnaPantalla.config'.
02-03 11:00:55.523 D/Mono    (18934): Assembly Loader probing location: '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/Xamarin.Android.Support.v4.dll'.
02-03 11:00:55.573 D/Mono    (18934): Image addref Xamarin.Android.Support.v4[0x65bdeb08] -> /storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/Xamarin.Android.Support.v4.dll[0x65bde008]: 2
02-03 11:00:55.573 D/Mono    (18934): Assembly Xamarin.Android.Support.v4[0x65bdeb08] added to domain RootDomain, ref_count=1
02-03 11:00:55.573 D/Mono    (18934): AOT module '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/Xamarin.Android.Support.v4.dll.so' not found: dlopen failed: library "/data/app-lib/UnaPantalla.Droid-2/libaot-Xamarin.Android.Support.v4.dll.so" not found
02-03 11:00:55.573 D/Mono    (18934): AOT module '/Users/builder/data/lanes/2512/d3008455/source/monodroid/builds/install/mono-armv7/lib/mono/aot-cache/arm/Xamarin.Android.Support.v4.dll.so' not found: dlopen failed: library "/data/app-lib/UnaPantalla.Droid-2/libaot-Xamarin.Android.Support.v4.dll.so" not found
